removed	duration	code
7.000000030e-002	2.000000000e+000	1.000000000e+000
1.000000015e-001	5.000000000e+000	1.000000000e+000
1.099999994e-001	7.000000000e+000	1.000000000e+000
1.199999973e-001	1.100000000e+001	1.000000000e+000
1.500000060e-001	1.200000000e+001	1.000000000e+000
1.899999976e-001	1.100000000e+001	1.000000000e+000
2.800000012e-001	9.000000000e+000	1.000000000e+000
3.100000024e-001	9.000000000e+000	1.000000000e+000
3.000000119e-001	1.600000000e+001	1.000000000e+000
3.400000036e-001	1.700000000e+001	1.000000000e+000
3.499999940e-001	1.200000000e+001	1.000000000e+000
3.899999857e-001	1.400000000e+001	1.000000000e+000
3.799999952e-001	2.300000000e+001	1.000000000e+000
4.000000060e-001	3.500000000e+001	1.000000000e+000
4.199999869e-001	2.100000000e+001	1.000000000e+000
4.000000060e-001	1.000000000e+001	1.000000000e+000
4.099999964e-001	9.000000000e+000	1.000000000e+000
4.199999869e-001	7.000000000e+000	1.000000000e+000
4.799999893e-001	1.100000000e+001	1.000000000e+000
4.799999893e-001	1.300000000e+001	1.000000000e+000
4.699999988e-001	1.400000000e+001	1.000000000e+000
4.900000095e-001	1.600000000e+001	1.000000000e+000
5.000000000e-001	1.400000000e+001	1.000000000e+000
5.099999905e-001	1.700000000e+001	1.000000000e+000
5.299999714e-001	2.200000000e+001	1.000000000e+000
5.799999833e-001	1.300000000e+001	1.000000000e+000
5.899999738e-001	1.300000000e+001	1.000000000e+000
6.499999762e-001	1.200000000e+001	1.000000000e+000
6.000000238e-001	1.900000000e+001	1.000000000e+000
6.000000238e-001	2.300000000e+001	1.000000000e+000
6.899999976e-001	2.100000000e+001	1.000000000e+000
6.999999881e-001	2.700000000e+001	1.000000000e+000
6.999999881e-001	2.800000000e+001	1.000000000e+000
5.099999905e-001	5.800000000e+001	1.000000000e+000
6.999999881e-001	1.500000000e+001	1.000000000e+000
2.800000012e-001	3.000000000e+000	2.000000000e+000
3.700000048e-001	1.200000000e+001	2.000000000e+000
5.199999809e-001	1.000000000e+001	2.000000000e+000
6.499999762e-001	1.700000000e+001	2.000000000e+000
7.599999905e-001	2.400000000e+001	2.000000000e+000
8.899999857e-001	3.300000000e+001	2.000000000e+000
7.400000095e-001	4.400000000e+001	2.000000000e+000
6.999999881e-001	4.600000000e+001	2.000000000e+000
7.900000215e-001	4.800000000e+001	2.000000000e+000
7.799999714e-001	5.100000000e+001	2.000000000e+000
7.400000095e-001	6.400000000e+001	2.000000000e+000
7.699999809e-001	7.800000000e+001	2.000000000e+000
